# Tabulated drift velocities [mm/ns] are originally from "Greg's program"
#
# Temperature corrections for drift velocities:
#   use parameterization of Omar and Reggiani, Solid State Electronics, 30 (1987) 1351
#   (as also shown in I-Yang's drift_velocity.doc)
#   but with parameter values adopted by David Radford, Feb 2015
#
# Karin: Added interpolated points @ 160, 240 , 600 
#              extrapolated points @ 3500-5000 for drift vel
#
# E [V/cm]   e100    e110    e111       h100    h110    h111
     0       0.0     0.0     0.0        0.0     0.0     0.0   
    50       0.015   0.015   0.015      0.021   0.019   0.018 
   100       0.027   0.027   0.027      0.036   0.033   0.031 
   160       0.039   0.038   0.036      0.047   0.043   0.040 
   240       0.051   0.050   0.044      0.056   0.051   0.048 
   300       0.057   0.056   0.054      0.060   0.055   0.0525
   500       0.074   0.071   0.065      0.072   0.065   0.062  
   600       0.081   0.077   0.069      0.077   0.069   0.065 
   750       0.089   0.085   0.073      0.081   0.073   0.069  
  1000       0.101   0.095   0.078      0.086   0.077   0.073 
  1250       0.109   0.102   0.0825     0.089   0.080   0.076 
  1500       0.116   0.106   0.086      0.0925  0.082   0.078 
  1750       0.119   0.111   0.087      0.095   0.084   0.080 
  2000       0.122   0.113   0.088      0.097   0.086   0.082 
  2500       0.125   0.1167  0.091      0.100   0.088   0.084 
  3000       0.1275  0.1175  0.0925     0.1025  0.091   0.086 
  3500       0.1283  0.1183  0.0928     0.1036  0.093   0.091 
  4000       0.1288  0.1188  0.0930     0.1041  0.0945  0.093 
  4500       0.1291  0.1191  0.0932     0.1045  0.096   0.095 
  5000       0.1293  0.1193  0.0933     0.1047  0.097   0.096 

# temperature correction
# electrons; <mu_0 at T=1> (cm2/Vs), <mu_0(T) power>, B (cm/s), theta (K)
e  5.66e7  -1.680  1.3e7  200.0
# holes;     <mu_0 at T=1> (cm2/Vs), <mu_0(T) power>, B (cm/s), theta (K)
h  1.63e9  -2.398  1.2e7  200.0
